0.9.5	Latest	v0.9.5	2026-06-08T12:31:22Z
0.9.4		v0.9.4	2026-01-11T01:20:49Z
0.9.2		v0.9.2	2026-01-10T15:38:31Z
0.9.1		v0.9.1	2026-01-08T21:59:27Z
0.9.0		v0.9.0	2025-12-31T08:39:02Z
0.8.3		v0.8.3	2025-12-28T04:16:08Z
0.8.2		v0.8.2	2025-12-28T02:36:17Z
0.8.1		v0.8.1	2025-12-27T18:03:28Z
0.8.0		v0.8.0	2025-12-27T17:07:05Z
Release v0.7.1		v0.7.1	2025-09-09T15:06:19Z
Release v0.7.0		v0.7.0	2025-09-04T09:36:51Z
Release v0.6.0		v0.6.0	2025-09-03T09:45:23Z
Release v0.5.0		v0.5.0	2025-09-03T06:05:05Z
Release v0.4.0		v0.4.0	2025-09-02T13:40:55Z
Release v0.3.2		v0.3.2	2025-08-31T02:14:48Z
Release v0.3.1		v0.3.1	2025-08-30T16:55:33Z
Release v0.3.0		v0.3.0	2025-08-23T22:26:08Z
Release v0.2.0		v0.2.0	2025-08-23T20:07:27Z
Release v0.1.0		v0.1.0	2025-08-23T18:37:46Z
Release v0.0.5		v0.0.5	2025-08-16T17:46:07Z
Release v0.0.4		v0.0.4	2025-08-15T12:19:32Z
Release v0.0.3		v0.0.3	2025-08-13T02:38:10Z
Release v0.0.2		v0.0.2	2025-08-13T01:46:36Z
Release v0.0.1		v0.0.1	2025-08-13T01:29:53Z
